category,property,raw_value,normalised_value,file,line,occurrences,source_type,effective
spacing,margin-left,auto,auto,renderer/activitylog.css,10,78,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,10,896,stylesheet,unknown
spacing,gap,9px,9px,renderer/activitylog.css,10,66,stylesheet,unknown
layout,flex-wrap,wrap,wrap,renderer/activitylog.css,10,112,stylesheet,unknown
colour,color,var(--red),var(--red),renderer/activitylog.css,11,100,stylesheet,unknown
colour,background,"var(--ant-danger-bg, var(--dh-bg))","var(--ant-danger-bg, var(--dh-bg))",renderer/activitylog.css,12,1,stylesheet,unknown
border,border-color,var(--red),var(--red),renderer/activitylog.css,12,13,stylesheet,unknown
colour,color,var(--red),var(--red),renderer/activitylog.css,12,100,stylesheet,unknown
layout,display,grid,grid,renderer/activitylog.css,16,129,stylesheet,unknown
layout,grid-template-columns,"repeat(auto-fit, minmax(210px, 1fr))","repeat(auto-fit, minmax(210px, 1fr))",renderer/activitylog.css,17,1,stylesheet,unknown
spacing,gap,12px,12px,renderer/activitylog.css,18,90,stylesheet,unknown
spacing,margin-bottom,14px,14px,renderer/activitylog.css,19,62,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,22,896,stylesheet,unknown
layout,align-items,flex-start,flex-start,renderer/activitylog.css,22,65,stylesheet,unknown
spacing,gap,13px,13px,renderer/activitylog.css,22,12,stylesheet,unknown
spacing,padding,15px 16px,15px 16px,renderer/activitylog.css,23,1,stylesheet,unknown
radius,border-radius,14px,14px,renderer/activitylog.css,23,38,stylesheet,unknown
colour,background,var(--card),var(--card),renderer/activitylog.css,24,211,stylesheet,unknown
border,border,1px solid var(--border),1px solid var(--border),renderer/activitylog.css,24,237,stylesheet,unknown
size,width,42px,42px,renderer/activitylog.css,27,5,stylesheet,unknown
size,height,42px,42px,renderer/activitylog.css,27,15,stylesheet,unknown
radius,border-radius,12px,12px,renderer/activitylog.css,27,85,stylesheet,unknown
layout,flex-shrink,0,0,renderer/activitylog.css,27,319,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,28,896,stylesheet,unknown
layout,align-items,center,center,renderer/activitylog.css,28,745,stylesheet,unknown
layout,justify-content,center,center,renderer/activitylog.css,28,241,stylesheet,unknown
colour,background,var(--dh-bg),var(--dh-bg),renderer/activitylog.css,29,76,stylesheet,unknown
colour,color,var(--dh),var(--dh),renderer/activitylog.css,29,85,stylesheet,unknown
typography,font-size,11.5px,11.5px,renderer/activitylog.css,31,163,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/activitylog.css,31,704,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,31,896,stylesheet,unknown
layout,align-items,center,center,renderer/activitylog.css,31,745,stylesheet,unknown
spacing,gap,5px,5px,renderer/activitylog.css,31,61,stylesheet,unknown
typography,font-size,24px,24px,renderer/activitylog.css,33,11,stylesheet,unknown
typography,font-weight,800,800,renderer/activitylog.css,33,214,stylesheet,unknown
colour,color,var(--text),var(--text),renderer/activitylog.css,33,425,stylesheet,unknown
typography,line-height,1.1,1.1,renderer/activitylog.css,33,14,stylesheet,unknown
spacing,margin-top,3px,3px,renderer/activitylog.css,33,64,stylesheet,unknown
typography,font-family,var(--ant-num-font),var(--ant-num-font),renderer/activitylog.css,34,152,stylesheet,unknown
typography,letter-spacing,var(--ant-num-track),var(--ant-num-track),renderer/activitylog.css,34,136,stylesheet,unknown
typography,font-variant-numeric,tabular-nums,tabular-nums,renderer/activitylog.css,35,170,stylesheet,unknown
typography,font-size,11px,11px,renderer/activitylog.css,37,244,stylesheet,unknown
spacing,margin-top,4px,4px,renderer/activitylog.css,37,36,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/activitylog.css,40,704,stylesheet,unknown
layout,display,inline-flex,inline-flex,renderer/activitylog.css,41,143,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/activitylog.css,41,704,stylesheet,unknown
other,cursor,help,help,renderer/activitylog.css,41,5,stylesheet,unknown
size,width,11px,11px,renderer/activitylog.css,42,12,stylesheet,unknown
size,height,11px,11px,renderer/activitylog.css,42,12,stylesheet,unknown
typography,font-size,11px,11px,renderer/activitylog.css,43,244,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/activitylog.css,43,704,stylesheet,unknown
layout,display,inline-flex,inline-flex,renderer/activitylog.css,44,143,stylesheet,unknown
layout,align-items,center,center,renderer/activitylog.css,44,745,stylesheet,unknown
spacing,gap,4px,4px,renderer/activitylog.css,44,35,stylesheet,unknown
typography,font-size,11px,11px,renderer/activitylog.css,44,244,stylesheet,unknown
typography,font-weight,700,700,renderer/activitylog.css,44,454,stylesheet,unknown
colour,color,var(--ant-success-fg),var(--ant-success-fg),renderer/activitylog.css,45,23,stylesheet,unknown
colour,color,var(--red),var(--red),renderer/activitylog.css,46,100,stylesheet,unknown
size,width,12px,12px,renderer/activitylog.css,47,19,stylesheet,unknown
size,height,12px,12px,renderer/activitylog.css,47,19,stylesheet,unknown
layout,display,grid,grid,renderer/activitylog.css,51,129,stylesheet,unknown
layout,grid-template-columns,"minmax(0, 1.5fr) minmax(0, 1fr) minmax(0, 1fr)","minmax(0, 1.5fr) minmax(0, 1fr) minmax(0, 1fr)",renderer/activitylog.css,52,1,stylesheet,unknown
spacing,gap,12px,12px,renderer/activitylog.css,53,90,stylesheet,unknown
spacing,margin-bottom,14px,14px,renderer/activitylog.css,54,62,stylesheet,unknown
layout,grid-template-columns,1fr,1fr,renderer/activitylog.css,56,27,stylesheet,unknown
typography,font-size,11px,11px,renderer/activitylog.css,57,244,stylesheet,unknown
colour,color,var(--text3),var(--text3),renderer/activitylog.css,57,704,stylesheet,unknown
layout,display,flex,flex,renderer/activitylog.css,59,896,stylesheet,unknown
layout,align-items,flex-end,flex-end,renderer/activitylog.css,59,17,stylesheet,unknown
spacing,gap,5px,5px,renderer/activitylog.css,59,61,stylesheet,unknown
size,height,108px,108px,renderer/activitylog.css,59,1,stylesheet,unknown
layout,flex,1,1,renderer/activitylog.css,61,120,stylesheet,unknown
size,height,100%,100%,renderer/activitylog.css,61,51,stylesheet,unknown
